# Consignes de dessin, un panneau par ligne.
#
# Ce fichier est la SUBSTANCE des planches : le style commun vit dans
# planches_ia.js, ici on décrit ce que montre chaque panneau. Une planche =
# quatre panneaux qui se suivent, comme une notice de montage.
#
# handle : la fiche Shopify dont la première photo sert de référence au modèle.
# C'est ce qui fait que le dessin montre le produit de Lasclay et pas un
# équivalent générique. Laisser vide pour un geste qui ne tient à aucun produit.
#
# Aucune consigne ne demande de texte : la planche se lit sans langue, et la
# numérotation est faite par la page, jamais par l'image.
#
# Essayer sans rien appeler :
#   node mrp/outils/planches_ia.js cachecou_bas --sec
#
planche	panneau	handle	prompt
curseur_genre	2	fichier:statique/planches/sources/curseur_genre-2.png	The garment is the black winter coat: an exposed front zipper down the centre with no storm flap, a hood, a small rectangular woven label on the chest, and an adjustment tab at each cuff. Follow the hand-drawn diagram for GEOMETRY ONLY — which side of the zipper tape the slider sits on. Do not mirror it. Close view of the middle of that zipper, the two rows of teeth meeting, the slider clearly carried on the tape that lies on the LEFT side of the picture. The coat is seen from the front as worn. No hands, no text.
curseur_genre	3	fichier:statique/planches/sources/curseur_genre-3.png	The garment is the black winter coat: an exposed front zipper down the centre with no storm flap, a hood, a small rectangular woven label on the chest, and an adjustment tab at each cuff. Follow the hand-drawn diagram for GEOMETRY ONLY — which side of the zipper tape the slider sits on. Do not mirror it. The very same close view, but wrong: the slider is carried on the tape on the RIGHT side of the picture instead. A red cross drawn as two crossed bars sits above it. Everything else identical to the previous panel. No hands, no text.
curseur_genre	4	fichier:statique/planches/sources/curseur_genre-4.png	The garment is the black winter coat: an exposed front zipper down the centre with no storm flap, a hood, a small rectangular woven label on the chest, and an adjustment tab at each cuff. Follow the hand-drawn diagram for GEOMETRY ONLY — which side of the zipper tape the slider sits on. Do not mirror it. Split into two halves by a thin vertical divider. On the LEFT half, a person facing the viewer in the coat with the slider on the left side of the picture — the wearer's right — and a green check mark above. On the RIGHT half, the same person and coat with the slider on the right side of the picture, and a red cross above. The two halves differ only by which side the slider is on. No text.
rouler	1	milkweed-cooler-backpack-30l	The cooler backpack standing upright with its top opening UNROLLED and open, the mouth gaping. A thin bright red ellipse marks the top edge. No hands.
rouler	2	milkweed-cooler-backpack-30l	Two hands roll the top edge downward on itself, one full turn, then a second turn, the roll tightening against the body of the pack. One bold red arrow curls along the direction of the roll.
rouler	3	milkweed-cooler-backpack-30l	The rolled top pressed down and the side buckle clipped shut over it, the strap pulled tight through the buckle. One bold red arrow, tail touching the hand, shows the strap being pulled.
rouler	4	milkweed-cooler-backpack-30l	Split into two halves by a thin vertical divider. On the left, a top rolled at least twice and the buckle clipped tight, the closure flat and sealed, green check mark above. On the right, the same top rolled only once and loosely, the buckle clipped over a slack roll that gapes open, red cross above.
emballage_carton	1	thermal-insoles	A pair of insoles lying flat beside a flat cardboard sleeve, both seen from above. A thin bright red ellipse marks the printed size stamp area on the sleeve. No hands.
emballage_carton	2	thermal-insoles	Two hands hold the insole against the sleeve to compare them: the insole's length matches what the sleeve is made for, edge to edge. No arrows.
emballage_carton	3	thermal-insoles	The insoles slid flat into the sleeve, lying straight and uncompressed, the sleeve folded closed over them without bulging or bending.
emballage_carton	4	thermal-insoles	Split into two halves by a thin vertical divider. On the left, insoles lying flat and straight inside their sleeve, keeping their shape, green check mark above. On the right, the same insoles forced into a sleeve too small, bent and buckled in the middle, the sleeve straining, red cross above.
ganses_hauteur	1	insulated-tote-bag	The burgundy tote bag seen flat from the front, its two black webbing handles rising from the top edge. Thin bright red ellipses mark the point where each handle is stitched to the bag. No hands.
ganses_hauteur	2	insulated-tote-bag	One hand lays a long straight ruler horizontally across the bag so it touches the stitching of BOTH handle attachments at once. No arrows.
ganses_hauteur	3	insulated-tote-bag	Close view along that ruler: the two attachment points sit at exactly the same height, their box stitching level with each other.
ganses_hauteur	4	insulated-tote-bag	Split into two halves by a thin vertical divider. On the left, two handle attachments level with each other along the ruler, green check mark above. On the right, one attachment clearly higher than the other so the ruler touches only one, red cross above.
lots_tissu	1	bandeau-copy#3	Two pieces of dark green fabric lying flat side by side on a work surface, cut from two different rolls, under one lamp lighting both equally. No hands.
lots_tissu	2	bandeau-copy#3	Two hands slide the pieces together until their edges touch along a straight line, so the two greens can be read against each other directly.
lots_tissu	3	bandeau-copy#3	Close view of that touching edge, enlarged: the colour runs across the join without a step — one continuous green.
lots_tissu	4	bandeau-copy#3	Split into two halves by a thin vertical divider. On the left, two pieces whose green matches across the join, green check mark above. On the right, the same two pieces with a clear step in tone at the join, one noticeably darker, red cross above.
mesures	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb is plain soft-shell. The mitten laid out perfectly FLAT on a work surface, seen from directly above, smoothed with no fold and no bunching, ready to be measured. Two hands smooth it flat. No arrows.
mesures	2	mittens	A flexible measuring tape laid along the mitten's LENGTH, from the top of the hand to the end of the cuff, following the garment without stretching it. One hand holds each end of the tape. The tape is blank, with plain tick marks and no numerals.
mesures	3	mittens	The same blank tape laid across the mitten's WIDTH at its widest point, straight from edge to edge, perpendicular to the length.
mesures	4	mittens	Split into two halves by a thin vertical divider. On the left, a garment measured lying flat and smooth with the tape straight and relaxed, green check mark above. On the right, the same garment measured while rumpled and pulled taut, the tape stretched and following a curve, red cross above.
gradation	1	chandail-polaire-asclepiade-polar	Two black fleece pullovers of consecutive sizes lying flat side by side, seen from above, the right one slightly larger than the left in every direction. No hands.
gradation	2	chandail-polaire-asclepiade-polar	The smaller garment laid on top of the larger one, aligned at the shoulder, so the difference shows as an even margin of the larger garment all around the edges of the smaller.
gradation	3	chandail-polaire-asclepiade-polar	Close view of that margin at the chest and at the sleeve end: the strip of larger garment showing beyond the smaller is the same width at the chest as at the hem, but a different width at the sleeve — the step between sizes is not the same everywhere.
gradation	4	chandail-polaire-asclepiade-polar	Split into two halves by a thin vertical divider. On the left, two consecutive sizes stacked with a clean even margin all round, green check mark above. On the right, two garments of supposedly consecutive sizes stacked with no margin at all on one side and a wide one on the other, red cross above.
bille	1	cache-cou-asclepiade	The garment is a black tubular neck gaiter, with a round elastic drawcord running through a channel and a small black barrel cord lock threaded on both strands of that cord. The whole gaiter seen from the front, the cord and its cord lock emerging at the opening, and below the cord lock a single small round BLACK BEAD threaded on the cord. A thin bright red ellipse is drawn around that bead. No hands in this panel.
bille	2	cache-cou-asclepiade	The garment is a black tubular neck gaiter, with a round elastic drawcord running through a channel and a small black barrel cord lock threaded on both strands of that cord. Close view of the cord below the cord lock, filling the frame. Both strands of the elastic pass THROUGH one small round black bead and continue freely below it, their ends hanging loose. There is NO KNOT anywhere in this picture — not at the bead, not at the ends: the elastic simply runs through the bead. The bead is clearly wider than the hole of the cord lock above it. No hands, no arrows.
bille	3	cache-cou-asclepiade	The garment is a black tubular neck gaiter, with a round elastic drawcord running through a channel and a small black barrel cord lock threaded on both strands of that cord. The same close view. One hand slides the cord lock down along the elastic toward the bead. One bold red arrow outlined in white has its tail touching that hand and points along the slide. The cord lock travels and then STOPS hard against the bead, which is too wide to pass through it. Still no knot anywhere.
bille	4	cache-cou-asclepiade	Split into two halves by a thin vertical divider. On the left half, a cord fitted with its bead, the cord lock held above it unable to pass, with a green check mark above. On the right half, the same cord with NO bead at all: the cord lock has slid right off the bare end and lies loose beside it, a separate piece, with a red cross above. No knot in either half.
essai_porte	1	tuque-sport-asclepiade	EXACTLY SIX people, no more and no fewer, standing side by side in ONE single horizontal row, seen from the shoulders up and facing the viewer. Count them: six. Every one of them wears the SAME plain black beanie — smooth brushed fabric, no knit texture, no pompom, a folded cuff across the brow, a tiny fabric tag on the right side of the cuff. The six are visibly DIFFERENT people: different head widths and heights, one small and narrow, one broad and square, one round, one long, one with thick hair showing below the cuff, one with none. THREE of them read as women and THREE as men. Each has a simple drawn face with eyes and mouth. NO hands anywhere in the picture, NO arrows, nobody is putting a hat on — the hats are already worn. One row only, plain light background, same drawing style throughout. No text, no numerals.
essai_porte	2	tuque-sport-asclepiade	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. On the LEFT half, one head in profile wearing the same smooth black beanie, the folded cuff coming down over the ear so the ear is completely covered, a thin bright red ellipse around the ear, and a green check mark above. On the RIGHT half, the SAME head where the cuff stops above the ear leaving the ear bare, with a red cross above. Same drawing style, plain light background. No text, no numerals.
essai_porte	3	tuque-sport-asclepiade	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. On the LEFT half, a close front view of the same smooth black beanie on a head, two fingers slipped flat between the folded cuff and the forehead showing there is room to spare, a green check mark above. On the RIGHT half, the SAME beanie with the cuff pressing into the forehead and a clear indentation line left in the skin, a red cross above. Same drawing style, plain light background. No text, no numerals.
essai_porte	4	tuque-sport-asclepiade	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. On the LEFT half, the same smooth black beanie sitting low and even on a head, its crown following the skull closely, a green check mark above. On the RIGHT half, the SAME beanie riding up high, the crown standing off the top of the head and the cuff lifted clear of the brow, a red cross above. Same drawing style, plain light background. No text, no numerals.
paire_cuir	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb itself is plain soft-shell. The cuff is gathered on an elastic with a small black cord-lock. One mitten lying palm up and filling the frame, a thin bright red ellipse drawn around the smooth leather panel on the palm. Nothing else is marked. Same drawing style, plain light background. No text, no numerals.
paire_cuir	2	mittens	Two complete PAIRS of black mittens, four mittens in all, all lying palm up. The upper pair has the SAME smooth uniform leather panel on both of its palms. The lower pair has the same GRAINED, visibly textured leather panel on both of its palms. A green check mark beside each pair. Both pairs are correct. Same drawing style, plain light background. No text, no numerals.
paire_cuir	3	mittens	One PAIR of black mittens lying palm up, two mittens. The LEFT mitten's palm panel is smooth and uniform; the RIGHT mitten's palm panel is clearly grained and textured. The two panels do not match. A large red cross above the pair. Same drawing style, plain light background. No text, no numerals.
paire_cuir	4	mittens	Two black mittens held palm against palm, the two leather panels face to face and edge to edge so they can be compared directly, two hands holding them together. The two panels match exactly. A green check mark above. Same drawing style, plain light background. No text, no numerals.
etiquette_mitaine	1	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb itself is plain soft-shell. The cuff is gathered on an elastic with a small black cord-lock. The cuff of the mitten folded back to reveal the INSIDE of the mitten, filling the frame. Two small rectangular fabric labels are caught in the inside seam, one above the other, each bearing one simple leaf shape as its only marking. A thin bright red ellipse around the two labels. Same drawing style, plain light background. No text, no numerals.
etiquette_mitaine	2	mittens	The mitten is black soft-shell with a smooth synthetic-leather panel over the PALM ONLY, stopping at the thumb seam; the thumb itself is plain soft-shell. The cuff is gathered on an elastic with a small black cord-lock. Close view of the folded-back cuff and the two inside labels. A short bold double-headed arrow spans the distance from the edge of the cuff down to the top of the first label, showing that distance is being measured. A green check mark above. Same drawing style, plain light background. No text, no numerals.
etiquette_mitaine	3	mittens	Split into two halves by a thin vertical divider. Both halves show the folded-back cuff of the same black mitten from the same angle, with the same two small fabric labels caught in the inside seam, both labels facing the same way in BOTH halves. The ONLY difference between the halves is HOW FAR the labels sit from the edge of the cuff, and each half carries a straight double-headed arrow measuring exactly that distance. On the LEFT half that arrow is LONG: the labels sit well down inside the mitten, clear of the edge, green check mark above. On the RIGHT half that arrow is VERY SHORT: the labels are crowded right up against the cuff edge and their tips poke out past it, red cross above. NO curved arrows, NO circular arrows, NO rotation of any kind — this picture is about distance only. Same drawing style, plain light background. No text, no numerals.
etiquette_mitaine	4	mittens	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the two inside labels close up. On the LEFT half both labels face the SAME way, aligned one above the other, green check mark above. On the RIGHT half one label is upside down relative to the other, red cross above. Same drawing style, plain light background. No text, no numerals.
points_pouce	1	mittens	The mitten is black soft-shell. A smooth synthetic-leather panel covers the PALM ONLY; the thumb itself is plain soft-shell, NOT leather. The cuff is gathered on an elastic with a small black cord-lock. There is NO seam running across the middle of the palm. The seams that exist are: the edge of the leather panel, one seam running around the outside edge of the hand joining the palm to the back, and one seam encircling the base of the thumb where the thumb is set in. The critical spot is where the seam around the BASE OF THE THUMB meets the seam that runs along the outside edge of the hand — the point where several pattern pieces come together. Close view of the mitten lying palm up and filling the frame, thumb spread out. A thin bright red ellipse is drawn tightly around that meeting point at the base of the thumb, and around nothing else. Do not mark the middle of the palm. Same drawing style, plain light background. No text, no numerals.
points_pouce	2	mittens	The mitten is black soft-shell. A smooth synthetic-leather panel covers the PALM ONLY; the thumb itself is plain soft-shell, NOT leather. The cuff is gathered on an elastic with a small black cord-lock. There is NO seam running across the middle of the palm. The seams that exist are: the edge of the leather panel, one seam running around the outside edge of the hand joining the palm to the back, and one seam encircling the base of the thumb where the thumb is set in. The critical spot is where the seam around the BASE OF THE THUMB meets the seam that runs along the outside edge of the hand — the point where several pattern pieces come together. Very close view of a short length of the seam at the base of the thumb, greatly magnified so the individual stitches are large and countable. A thin flat measuring strip lies alongside the seam marking one short span, and one fingertip points at the stitches inside that span, counting them one by one. The stitches are small and tightly spaced. Same drawing style, plain light background. No text, no numerals.
points_pouce	3	mittens	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the SAME magnified length of the seam at the base of a mitten's thumb, with the same measuring strip marking one span. On the LEFT half the span contains MANY small tightly-spaced stitches — count them: ten — with a green check mark above. On the RIGHT half the same span contains only FIVE long widely-spaced stitches, with a red cross above. Same drawing style, plain light background. No text, no numerals.
points_pouce	4	mittens	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. The mitten is black soft-shell. A smooth synthetic-leather panel covers the PALM ONLY; the thumb itself is plain soft-shell, NOT leather. The cuff is gathered on an elastic with a small black cord-lock. There is NO seam running across the middle of the palm. The seams that exist are: the edge of the leather panel, one seam running around the outside edge of the hand joining the palm to the back, and one seam encircling the base of the thumb where the thumb is set in. On the LEFT half, two hands pull the thumb away from the hand and the densely stitched seam at the base of the thumb stays closed and flat, green check mark above. On the RIGHT half, the same pull on the sparsely stitched seam makes that seam BURST OPEN at the base of the thumb, and a tuft of WHITE fibrous insulation bulges out of the opening — this is exactly how these mittens fail in the field. Red cross above. Same drawing style, plain light background. No text, no numerals.
glaciere_quincaillerie	1	milkweed-cooler-backpack-30l#3,9,2	The bag is an olive waxed-cotton roll-top backpack. Two flat black webbing shoulder straps run down its back, each ending at the bottom in a black plastic ladder-lock adjuster. A single black plastic slider buckle holds the rolled top closed at the front. The bag is full and bulging. The rolled top is closed and the black plastic buckle at the front is snapped shut. Two hands lift the whole bag off the ground BY THAT BUCKLE ALONE, the bag hanging from it, a thin bright red ellipse around the buckle. Same drawing style, plain light background. No text, no numerals.
glaciere_quincaillerie	2	milkweed-cooler-backpack-30l#3,9,2	The bag is an olive waxed-cotton roll-top backpack. Two flat black webbing shoulder straps run down its back, each ending at the bottom in a black plastic ladder-lock adjuster. A single black plastic slider buckle holds the rolled top closed at the front. Close view of the back of the bag at one bottom corner, filling the frame, showing the black ladder-lock adjuster with the webbing threaded through it. One hand pulls the free end of the webbing sharply, shown by one bold red arrow, while the other holds the bag. The webbing does not slip through the adjuster. A green check mark above. Same drawing style, plain light background. No text, no numerals.
glaciere_quincaillerie	3	milkweed-cooler-backpack-30l#3,9,2	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the same black plastic ladder-lock adjuster with webbing through it, seen close up. On the LEFT half the webbing stays exactly where it was set, green check mark above. On the RIGHT half the webbing has slipped far through the adjuster and hangs loose, red cross above. Same drawing style, plain light background. No text, no numerals.
glaciere_quincaillerie	4	milkweed-cooler-backpack-30l#3,9,2	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the same black plastic buckle close up. On the LEFT half the plastic is evenly dark and intact, green check mark above. On the RIGHT half the plastic shows a pale whitened line across the loaded arm of the buckle, and beside it the same buckle snapped in two pieces, red cross above. Same drawing style, plain light background. No text, no numerals.
saclunch_boucle	1	lunchbag#4,5,1	The bag is a deep red waxed-cotton lunch bag with a bright blue reflective lining. Its top rolls down and is held by ONE black plastic side-release buckle on black webbing; closed, that buckle forms the carrying handle. The bag is full and bulging, its top rolled down. Two hands press the two halves of the black buckle together until they lock, a thin bright red ellipse around the buckle at the moment it closes. Same drawing style, plain light background. No text, no numerals.
saclunch_boucle	2	lunchbag#4,5,1	The bag is a deep red waxed-cotton lunch bag with a bright blue reflective lining. Its top rolls down and is held by ONE black plastic side-release buckle on black webbing; closed, that buckle forms the carrying handle. The full bag hangs in the air, held up by one hand gripping ONLY the closed buckle handle. The bag swings slightly. A green check mark above. Same drawing style, plain light background. No text, no numerals.
saclunch_boucle	3	lunchbag#4,5,1	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the same closed black side-release buckle close up, with the bag's weight pulling down on it. On the LEFT half the buckle stays firmly locked, green check mark above. On the RIGHT half the two halves have sprung apart and the bag is falling away below, red cross above. Same drawing style, plain light background. No text, no numerals.
saclunch_boucle	4	lunchbag#4,5,1	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show, close up, the end of the black webbing where it is sewn onto the red bag. On the LEFT half the stitching is complete and flat, green check mark above. On the RIGHT half the stitching has pulled out and the webbing is peeling away from the fabric, red cross above. Same drawing style, plain light background. No text, no numerals.
semelle_flexion	1	thermal-insoles	The insole is flat, foot-shaped, with a silver quilted reflective top surface, a black underside, and a dense zigzag overlock stitch running all around its edge. One insole held in two hands, silver side up, filling the frame. The hands bend it at the front third — where the foot bends at each step — so the toe end lifts toward the heel. Two bold red arrows show the bending, and a thin bright red ellipse marks the fold line. Same drawing style, plain light background. No text, no numerals.
semelle_flexion	2	thermal-insoles	The insole is flat, foot-shaped, with a silver quilted reflective top surface, a black underside, and a dense zigzag overlock stitch running all around its edge. The SAME insole shown mid-movement being bent and released, bent and released, drawn as one insole with a faint repeated outline behind it suggesting the motion is repeated many times. Same hands, same fold line. Same drawing style, plain light background. No text, no numerals.
semelle_flexion	3	thermal-insoles	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show a close view of the silver quilted surface at the fold line of an insole. On the LEFT half the silver surface is smooth and unbroken after bending, green check mark above. On the RIGHT half the silver surface is cracked along the fold and is peeling away from the fabric beneath it, red cross above. Same drawing style, plain light background. No text, no numerals.
semelle_flexion	4	thermal-insoles	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show a flat hand sliding along an insole lying silver side up. On the LEFT half the insole is perfectly even under the hand, green check mark above. On the RIGHT half a clear lump bulges under the middle of the insole and the hand rides over it, red cross above. Same drawing style, plain light background. No text, no numerals.
cachecou_fuite	1	cache-cou-asclepiade	The neck gaiter is a dark grey fleece tube. One end is gathered on a thin elastic drawcord held by a small black cord-lock. The tube held in two hands and squeezed firmly in the middle, the fabric compressed between the fingers, filling the frame. A thin bright red ellipse around the seam being squeezed. Same drawing style, plain light background. No text, no numerals.
cachecou_fuite	2	cache-cou-asclepiade	The neck gaiter is a dark grey fleece tube. One end is gathered on a thin elastic drawcord held by a small black cord-lock. Close view of one seam of the tube held up against a bright light behind it, so the seam is seen in silhouette. Fingers hold the fabric taut on either side of the seam. Same drawing style, plain light background. No text, no numerals.
cachecou_fuite	3	cache-cou-asclepiade	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the same seam of the grey fleece tube, seen very close against a bright backlight. On the LEFT half the seam line is clean and nothing escapes it, green check mark above. On the RIGHT half fine pale fibres push out through the seam and stand up along it, red cross above. Same drawing style, plain light background. No text, no numerals.
cachecou_fuite	4	cache-cou-asclepiade	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the grey tube standing open, seen from one end looking through it. On the LEFT half the tube is a complete closed ring of fabric all the way round, green check mark above. On the RIGHT half the ring is interrupted by a gap where a seam is missing, and pale fibres spill out of the gap, red cross above. Same drawing style, plain light background. No text, no numerals.
fermeture_couture	1	veste-sans-manche-asclepiade	The garment is a black quilted front-zip garment, shown as the TORSO ONLY, cropped above the shoulders and below the hips so no sleeves are in view. A full-length separating zipper runs down the centre front, its tape stitched to the quilted panel on each side. The zipper is closed to the top. Two hands grip the quilted fabric on either side of the zipper at mid height and pull straight APART, away from each other, perpendicular to the zipper line. Two bold red arrows point outward in opposite directions. A thin bright red ellipse around the stitching that holds the zipper tape to the fabric — not around the zipper teeth. Same drawing style, plain light background. No text, no numerals.
fermeture_couture	2	veste-sans-manche-asclepiade	The garment is a black quilted front-zip garment, shown as the TORSO ONLY, cropped above the shoulders and below the hips so no sleeves are in view. A full-length separating zipper runs down the centre front, its tape stitched to the quilted panel on each side. The same garment, now gripped low down at the very bottom of the zipper, just at the box and pin, and pulled apart the same way with two bold red arrows. A thin bright red ellipse around the bottom of the zipper tape where it is stitched in. Same drawing style, plain light background. No text, no numerals.
fermeture_couture	3	veste-sans-manche-asclepiade	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show, very close up, the stitching that holds a zipper tape to quilted black fabric, with the fabric pulled apart. On the LEFT half the stitching stays tight and the tape stays flat against the fabric, green check mark above. On the RIGHT half the stitches have popped one after another and the tape is lifting away from the fabric, leaving a line of open holes, red cross above. Same drawing style, plain light background. No text, no numerals.
fermeture_couture	4	veste-sans-manche-asclepiade	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the bottom end of a closed zipper on quilted black fabric, close up. On the LEFT half the bottom stop sits square and the fabric around it is flat, green check mark above. On the RIGHT half the bottom of the zipper tape has torn free of the garment and curls outward, the quilting gaping open beside it, red cross above. Same drawing style, plain light background. No text, no numerals.
foulard_couture	1	scarf	The scarf is a long rust-orange quilted rectangle, padded in soft horizontal channels, with one small dark fabric label near one end. The scarf laid out flat and filling the frame. A thin bright red ellipse is drawn around the long seam that runs the whole length of one edge. Nothing else is marked. Same drawing style, plain light background. No text, no numerals.
foulard_couture	2	scarf	The scarf is a long rust-orange quilted rectangle, padded in soft horizontal channels, with one small dark fabric label near one end. Two hands grip the scarf on either side of that long seam and pull firmly apart, two bold red arrows pointing outward in opposite directions, the quilted channels stretching slightly between them. Same drawing style, plain light background. No text, no numerals.
foulard_couture	3	scarf	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the same long seam of a rust-orange quilted scarf, close up, with the fabric pulled apart. On the LEFT half the seam holds and stays closed, green check mark above. On the RIGHT half the seam has opened and pale fibrous filling pushes out through the gap, red cross above. Same drawing style, plain light background. No text, no numerals.
foulard_couture	4	scarf	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show a close view of that seam held up against a bright light from behind. On the LEFT half the seam reads as one clean dark line, green check mark above. On the RIGHT half fine pale fibres show through the seam and stand out along it against the light, red cross above. Same drawing style, plain light background. No text, no numerals.
besace_doublure	1	besace	The bag is a black canvas tote with two flat black handles and a detachable shoulder strap. Its mouth is a wide open rectangle, and a lining is sewn to the inside of that opening. The bag standing open, seen from above and slightly to the side, filling the frame. A thin bright red ellipse runs around the inside edge of the opening, where the lining is sewn to the rim. Same drawing style, plain light background. No text, no numerals.
besace_doublure	2	besace	The bag is a black canvas tote with two flat black handles and a detachable shoulder strap. Its mouth is a wide open rectangle, and a lining is sewn to the inside of that opening. One hand reaches inside the open bag, grips the lining at the rim and pulls it downward and inward, shown by one bold red arrow, while the other hand holds the outside of the bag steady. Same drawing style, plain light background. No text, no numerals.
besace_doublure	3	besace	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show a close view of the rim of a black canvas bag where the lining is joined to it. On the LEFT half the seam is tight and the lining stays attached all along the rim, green check mark above. On the RIGHT half the lining has torn away from the rim over a stretch and hangs loose inside the bag, red cross above. Same drawing style, plain light background. No text, no numerals.
besace_doublure	4	besace	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the open bag seen from above. On the LEFT half the lining sits evenly all the way round the opening, green check mark above. On the RIGHT half a section of lining has pulled free and sags into the bag, leaving the raw rim exposed, red cross above. Same drawing style, plain light background. No text, no numerals.
pantoufle_dessous	1	pantoufles-dasclepiade	The slipper is black, soft, with a navy lining inside and a black sole covered in small raised round grip dots. One slipper lying sole up and filling the frame, showing the black sole covered in small raised round grip dots. A thin bright red ellipse around the sole area under the ball of the foot. Same drawing style, plain light background. No text, no numerals.
pantoufle_dessous	2	pantoufles-dasclepiade	The slipper is black, soft, with a navy lining inside and a black sole covered in small raised round grip dots. The same slipper sole up, one hand pressing flat on the sole and rubbing it firmly back and forth, shown by one bold red double-headed arrow lying along the rubbing. Same drawing style, plain light background. No text, no numerals.
pantoufle_dessous	3	pantoufles-dasclepiade	The slipper is black, soft, with a navy lining inside and a black sole covered in small raised round grip dots. The same slipper held in two hands and bent in half at the front third, sole outward, so the sole surface is stretched open at the fold. Two bold red arrows show the bending. Same drawing style, plain light background. No text, no numerals.
pantoufle_dessous	4	pantoufles-dasclepiade	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show a close view of a black slipper sole covered in small raised grip dots, at the fold line. On the LEFT half every dot is in place and the fabric between them is intact, green check mark above. On the RIGHT half several dots have come away leaving bare patches, and the fabric has split open along the fold, red cross above. Same drawing style, plain light background. No text, no numerals.
fermeture_manteau	1	manteau-hiver-asclepiade-quebecoise	The garment is a long black quilted winter coat WITH LONG SLEEVES and a hood, shown from the front. A full-length separating zipper runs down the centre front, its tape stitched to the quilted panel on each side. The zipper is closed to the top. Two hands grip the quilted fabric on either side of the zipper at chest height and pull straight APART, away from each other, perpendicular to the zipper line. Two bold red arrows point outward in opposite directions. A thin bright red ellipse around the stitching that holds the zipper tape to the fabric — not around the zipper teeth. Same drawing style, plain light background. No text, no numerals.
fermeture_manteau	2	manteau-hiver-asclepiade-quebecoise	The garment is a long black quilted winter coat WITH LONG SLEEVES and a hood, shown from the front. A full-length separating zipper runs down the centre front, its tape stitched to the quilted panel on each side. The same coat, now gripped low down at the very bottom of the zipper, at the hem, and pulled apart the same way with two bold red arrows. A thin bright red ellipse around the bottom of the zipper tape where it is stitched in. Same drawing style, plain light background. No text, no numerals.
fermeture_manteau	3	manteau-hiver-asclepiade-quebecoise	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show, very close up, the stitching that holds a zipper tape to quilted black coat fabric, with the fabric pulled apart. On the LEFT half the stitching stays tight and the tape stays flat, green check mark above. On the RIGHT half the stitches have popped one after another and the tape lifts away, leaving a line of open holes, red cross above. Same drawing style, plain light background. No text, no numerals.
fermeture_manteau	4	manteau-hiver-asclepiade-quebecoise	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show the bottom end of a closed zipper at the hem of a quilted black coat, close up. On the LEFT half the bottom stop sits square and the hem is flat, green check mark above. On the RIGHT half the bottom of the zipper tape has torn free of the coat and curls outward, the quilting gaping open beside it, red cross above. Same drawing style, plain light background. No text, no numerals.
tuque_isolant	1	tuque-sport-asclepiade	The beanie is plain black, smooth brushed fabric with no knit texture and no pompom, with a folded cuff across the brow and a tiny fabric tag on the right side of the cuff. The beanie turned fully inside out and held open in two hands, filling the frame, so its inner seams are visible running from the brow to the crown. A thin bright red ellipse around one of those inner seams. Same drawing style, plain light background. No text, no numerals.
tuque_isolant	2	tuque-sport-asclepiade	Split into two halves by a thin vertical divider, and the two halves must NOT look alike. Both halves show, close up, the inside of a black beanie along one inner seam. On the LEFT half the seam runs unbroken from end to end, green check mark above. On the RIGHT half the seam simply stops partway and the two layers gape apart beyond it, red cross above. Same drawing style, plain light background. No text, no numerals.
tuque_isolant	3	tuque-sport-asclepiade	The beanie is plain black, smooth brushed fabric with no knit texture and no pompom, with a folded cuff across the brow and a tiny fabric tag on the right side of the cuff. The beanie laid flat, one flat hand pressing along it from the folded cuff up toward the crown, feeling the padding through the fabric. One bold red arrow follows the hand's path. Same drawing style, plain light background. No text, no numerals.
